timestamp,source_ip,http_method,http_status,data_volume
2023-05-27 11:02:04,136.113.2.117,DELETE,404,4709
2023-11-27 16:34:27,172.206.214.188,POST,200,5163
2023-11-14 13:26:53,118.15.104.190,POST,500,784
2023-10-04 01:15:58,186.223.19.185,PATCH,404,3648
2023-06-08 10:53:33,63.43.132.90,PATCH,500,116
2023-07-04 23:28:28,50.254.84.71,GET,404,1624
2023-03-08 09:12:49,170.10.218.61,POST,400,3210
2023-07-01 05:00:12,147.80.234.200,DELETE,301,5076
2023-05-11 05:07:51,110.144.152.205,POST,301,5712
2023-11-26 01:57:17,198.149.61.110,PATCH,400,2493
2023-10-18 09:07:06,165.251.70.247,GET,200,3918
2023-07-02 16:56:43,12.137.88.25,GET,400,2319
2023-06-12 04:44:12,12.194.101.207,POST,400,8795
2023-07-13 08:08:16,106.214.48.92,PUT,301,1477
2023-08-02 07:56:26,154.131.171.162,PATCH,404,213
2023-05-28 02:43:24,125.220.32.46,DELETE,404,3136
2023-07-15 14:35:36,218.216.252.228,POST,404,7752
2023-07-17 08:27:47,47.160.248.64,GET,404,5414
2023-09-03 19:07:07,54.157.168.198,POST,404,4534
2023-06-27 18:05:44,140.135.203.46,PUT,400,6662
2023-08-28 12:52:16,217.160.58.127,POST,200,7470
2023-01-28 09:55:08,170.10.218.61,POST,404,3483
2023-01-19 05:35:37,13.247.83.123,POST,301,978
2023-07-14 11:04:33,155.32.4.192,PUT,400,3343
2023-07-05 07:49:34,110.125.237.45,GET,500,815
2023-04-04 09:39:16,198.117.209.13,POST,200,8193
2023-05-08 16:38:21,27.79.97.223,GET,301,424
2023-06-24 16:58:53,145.45.118.134,DELETE,404,9636
2023-05-27 13:57:22,170.10.218.61,DELETE,400,231
2023-07-04 07:14:49,203.11.60.37,PATCH,500,7033
2023-07-20 15:09:03,12.137.88.25,GET,301,4456
2023-08-22 09:24:40,136.97.211.132,DELETE,404,5261
2023-02-22 17:13:06,70.65.108.73,DELETE,301,7429
2023-08-15 20:27:55,42.18.43.226,PATCH,200,395
2023-04-15 03:25:52,113.252.196.219,DELETE,500,403
2023-11-11 14:17:57,154.131.61.38,PATCH,404,3583
2023-08-07 22:24:33,50.135.167.178,DELETE,500,2576
2023-10-29 07:26:01,149.102.201.15,DELETE,500,7536
2023-11-09 17:28:09,74.233.17.148,POST,404,5872
2023-05-18 13:13:34,31.137.58.245,POST,301,6212
2023-05-10 15:26:36,150.72.219.234,PATCH,404,4113
2023-04-04 04:37:58,12.137.88.25,DELETE,200,5254
2023-04-23 19:46:46,202.106.100.240,PATCH,400,5692
2023-09-26 23:22:19,150.165.28.157,DELETE,500,7949
2023-02-03 16:00:12,24.113.10.105,PUT,200,3206
2023-07-22 18:58:16,38.34.221.250,PATCH,400,6500
2023-02-16 03:04:24,51.81.244.177,DELETE,500,2060
2023-07-11 16:22:35,34.15.202.118,GET,200,549
2023-09-13 03:19:14,4.132.232.147,GET,200,8935
